adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes
CHN,Hubei,Wuhan,travel_ban_local,"public transit suspended, Wuhan airport/train/metro closed",1/23/20,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/20,NA
CHN,Hubei,Ezhou,travel_ban_local,public transit on lockdown,1/23/20,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/20,NA
CHN,Hubei,Huanggang,travel_ban_local,public transit on lockdown,1/23/20,3/13/20,N,https://www.reuters.com/article/us-health-coronavirus-china/chinas-coronavirus-epicenter-reports-just-five-cases-beijing-tomb-sweepers-urged-to-stay-back-idUSKBN2100BP,3/16/20,NA
CHN,Hubei,Enshi Tujia and Miao Autonomous Prefecture,travel_ban_local,,1/24/20,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/20,NA
CHN,Hubei,Huangshi,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Jingmen,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Jingzhou,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Qianjiang,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Shiyan,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Suizhou,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Tianmen,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Xianning,travel_ban_local,,1/24/20,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/20,NA
CHN,Hubei,Xiantao,travel_ban_local,,1/24/20,3/13/20,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/20,NA
CHN,Hubei,Xiaogan,travel_ban_local,,1/24/20,NA,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/20,NA
CHN,Hubei,Yichang,travel_ban_local,,1/24/20,3/13/20,N,http://www.xinhuanet.com/politics/2020-03/15/c_1125716736.htm,3/16/20,NA
CHN,Anhui,All,travel_ban_local,,1/27/20,NA,N,http://www.caixin.com/2020-03-09/101506971.html,3/17/20,NA
CHN,Henan,Shangqiu,home_isolation,,1/27/20,NA,N,"https://news.sina.com.cn/c/2020-01-31/doc-iimxyqvy9241769.shtml, https://www.sqnu.edu.cn/info/1013/14613.htm, http://finance.eastmoney.com/a/202002111378815530.html",3/17/20,NA
