date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-17,24,24
2020-02-18,36.18117973115676,36.18117973115676
2020-02-19,64.79225267081125,64.79225267081125
2020-02-20,128.95034226407265,130.73210833600862
2020-02-21,180.33753095144047,202.46582981204594
2020-02-22,257.665380930634,317.2670918624665
2020-02-23,362.98827382784623,487.6518159856577
2020-02-24,465.41808015025526,704.4733004658498
2020-02-25,597.2017774729093,1025.7140050660973
2020-02-26,761.8912545922412,1497.474384946211
2020-02-27,1020.5540869322928,2237.6566010019665
2020-02-28,1234.014663464447,3376.6808094405405
2020-02-29,1473.6436181422496,5126.599307232765
2020-03-01,1740.8129607700603,7600.177893089821
2020-03-02,1992.8793134732725,11003.302606908102
2020-03-03,2284.3958418349885,16077.979969163911
2020-03-04,2624.1117512259384,23593.667195518403
2020-03-05,3014.6848612946833,34671.04443061087
2020-03-06,3555.965507905766,52647.94559751741
2020-03-07,4098.4998398847865,77689.70404433447
2020-03-08,4744.230246428726,115086.57462409524
2020-03-09,5405.311733321747,166776.62418493655
2020-03-10,6227.592361400456,243436.26665760492
2020-03-11,7073.228945279525,355093.0233624772
2020-03-12,8042.853586295425,515005.59289330285
2020-03-13,9386.203585029634,761984.0383748662
2020-03-14,10724.006078609647,1082012.964772203
2020-03-15,11557.85466388822,1513132.4297084739
2020-03-16,12084.493473432878,2032412.8233441424
2020-03-17,12704.610547357026,2676473.072334636
2020-03-18,13348.608489602322,3423909.7478536516
2020-03-19,14017.653298390813,4237614.870405952
2020-03-20,14986.122273534462,5145971.35818983
2020-03-21,15710.502961963444,5973424.882235707
2020-03-22,16449.839669703684,6751785.699135588
2020-03-23,17084.641839261803,7464756.33563032
2020-03-24,17826.948999481927,8174091.538557511
2020-03-25,18618.955868889345,8893721.696263175
2020-03-26,19434.3701480717,9648106.81367094
2020-03-27,20301.99680668356,10458794.561739597
2020-03-28,21223.199064713146,11350916.949431237
2020-03-29,22223.96800379983,12333578.669319738
2020-03-30,23033.648544778654,13312630.683974853
2020-03-31,23963.820524141025,14357160.845993789
2020-04-01,25010.23851080053,15421360.559656993
2020-04-02,26098.74036728432,16468749.964543784
2020-04-03,27648.305785858753,17576453.01642295
2020-04-04,28880.626349874827,18529301.770885564
2020-04-05,30284.2845924477,19421795.349213757
2020-04-06,31448.16791618018,20180710.595511682
