date,adm0_name,cum_confirmed_cases,cum_confirmed_cases_imputed,active_cases,cum_deaths,cum_deaths_imputed,cum_recoveries,cum_recoveries_imputed
2020-01-22,USA,1,1,1,0,0,0,0
2020-01-23,USA,1,1,1,0,0,0,0
2020-01-24,USA,2,2,2,0,0,0,0
2020-01-25,USA,2,2,2,0,0,0,0
2020-01-26,USA,5,5,5,0,0,0,0
2020-01-27,USA,5,5,5,0,0,0,0
2020-01-28,USA,5,5,5,0,0,0,0
2020-01-29,USA,5,5,5,0,0,0,0
2020-01-30,USA,5,5,5,0,0,0,0
2020-01-31,USA,7,7,7,0,0,0,0
2020-02-01,USA,8,8,8,0,0,0,0
2020-02-02,USA,8,8,8,0,0,0,0
2020-02-03,USA,11,11,11,0,0,0,0
2020-02-04,USA,11,11,11,0,0,0,0
2020-02-05,USA,11,11,11,0,0,0,0
2020-02-06,USA,11,11,11,0,0,0,0
2020-02-07,USA,11,11,11,0,0,0,0
2020-02-08,USA,11,11,11,0,0,0,0
2020-02-09,USA,11,11,8,0,0,3,3
2020-02-10,USA,11,11,8,0,0,3,3
2020-02-11,USA,12,12,9,0,0,3,3
2020-02-12,USA,12,12,9,0,0,3,3
2020-02-13,USA,13,13,10,0,0,3,3
2020-02-14,USA,13,13,10,0,0,3,3
2020-02-15,USA,13,13,10,0,0,3,3
2020-02-16,USA,13,13,10,0,0,3,3
2020-02-17,USA,13,13,10,0,0,3,3
2020-02-18,USA,13,13,10,0,0,3,3
2020-02-19,USA,13,13,10,0,0,3,3
2020-02-20,USA,13,13,10,0,0,3,3
2020-02-21,USA,15,15,10,0,0,5,5
2020-02-22,USA,15,15,10,0,0,5,5
2020-02-23,USA,15,15,10,0,0,5,5
2020-02-24,USA,51,51,46,0,0,5,5
2020-02-25,USA,51,51,45,0,0,6,6
2020-02-26,USA,57,57,51,0,0,6,6
2020-02-27,USA,58,58,52,0,0,6,6
2020-02-28,USA,60,60,53,0,0,7,7
2020-02-29,USA,68,68,60,1,1,7,7
2020-03-01,USA,74,74,66,1,1,7,7
2020-03-02,USA,98,98,85,6,6,7,7
2020-03-03,USA,118,118,104,7,7,7,7
2020-03-04,USA,149,149,131,11,11,7,7
2020-03-05,USA,217,217,198,12,12,7,7
2020-03-06,USA,262,262,241,14,14,7,7
2020-03-07,USA,402,402,378,17,17,7,7
2020-03-08,USA,518,518,490,21,21,7,7
2020-03-09,USA,583,583,554,22,22,7,7
2020-03-10,USA,959,959,923,28,28,8,8
2020-03-11,USA,1281,1281,1237,36,36,8,8
2020-03-12,USA,1663,1663,1611,40,40,12,12
2020-03-13,USA,2179,2179,2120,47,47,12,12
2020-03-14,USA,2727,2727,2661,54,54,12,12
2020-03-15,USA,3499,3499,3424,63,63,12,12
2020-03-16,USA,4632,4632,4530,85,85,17,17
2020-03-17,USA,6421,6421,6296,108,108,17,17
2020-03-18,USA,7783,7783,7560,118,118,105,105
2020-03-19,USA,13677,13677,13356,200,200,121,121
2020-03-20,USA,19100,19100,18709,244,244,147,147
2020-03-21,USA,25489,25489,25006,307,307,176,176
2020-03-22,USA,33276,33276,32681,417,417,178,178
2020-03-23,USA,43847,43847,43112,557,557,178,178
2020-03-24,USA,53740,53740,52686,706,706,348,348
2020-03-25,USA,65778,65778,64475,942,942,361,361
2020-03-26,USA,83836,83836,81946,1209,1209,681,681
2020-03-27,USA,101657,101657,99207,1581,1581,869,869
2020-03-28,USA,121478,121478,118380,2026,2026,1072,1072
2020-03-29,USA,140886,140886,135754,2467,2467,2665,2665
2020-03-30,USA,161807,161807,153185,2978,2978,5644,5644
2020-03-31,USA,188172,188172,177275,3873,3873,7024,7024
